period,session,prob_bucket,n,mean_pred,empirical_rate,score_std,calibration_gap
train,asia,"[0.00,0.10)",5725,0.056523513,0.06218340611353712,0.030298319,0.005659893064649868
train,asia,"[0.10,0.20)",9309,0.1683983,0.17628101836932,0.022801686,0.007882712595584956
train,asia,"[0.20,0.30)",31638,0.27105963,0.27606043365573046,0.019731957,0.0050008013543998975
train,asia,"[0.30,0.40)",52776,0.3239066,0.3322722449598302,0.016943103,0.00836564448451893
train,asia,"[0.40,0.50)",2766,0.41917318,0.4309472161966739,0.021832956,0.011774035139697603
train,asia,"[0.50,0.60)",14,0.59300596,0.7142857142857143,0.00057551306,0.1212797590664455
train,asia,"[0.60,0.70)",1,0.6666667,1.0,,0.3333333134651184
train,asia,"[0.70,0.80)",0,,,,
train,asia,"[0.80,0.90)",0,,,,
train,asia,"[0.90,1.00]",0,,,,
train,london,"[0.00,0.10)",3229,0.05532677,0.05326726540724683,0.029266698,-0.002059505583840132
train,london,"[0.10,0.20)",5991,0.16974089,0.1755967284259723,0.021175943,0.005855842929832766
train,london,"[0.20,0.30)",21236,0.2716309,0.27458090035788285,0.019479088,0.0029499873387025533
train,london,"[0.30,0.40)",32130,0.32299268,0.3229380641145347,0.016222918,-5.4618342435530653e-05
train,london,"[0.40,0.50)",1418,0.4217944,0.39703808180535965,0.023216331,-0.024756332714904017
train,london,"[0.50,0.60)",11,0.5932239,0.5454545454545454,0.000604434,-0.04776938395066699
train,london,"[0.60,0.70)",0,,,,
train,london,"[0.70,0.80)",0,,,,
train,london,"[0.80,0.90)",0,,,,
train,london,"[0.90,1.00]",0,,,,
train,ny,"[0.00,0.10)",4716,0.04444688,0.0595843935538592,0.03162954,0.015137511693364587
train,ny,"[0.10,0.20)",6006,0.17167799,0.1938061938061938,0.01998193,0.022128202058337654
train,ny,"[0.20,0.30)",22399,0.270288,0.26702084914505114,0.019270265,-0.003267141425017217
train,ny,"[0.30,0.40)",29043,0.32418603,0.30874909616775126,0.016377369,-0.015436930882267053
train,ny,"[0.40,0.50)",1026,0.41863325,0.37816764132553604,0.02132605,-0.0404656110567424
train,ny,"[0.50,0.60)",11,0.5935396,1.0,0.00046819256,0.40646040439605713
train,ny,"[0.60,0.70)",1,0.6666667,0.0,,-0.6666666865348816
train,ny,"[0.70,0.80)",0,,,,
train,ny,"[0.80,0.90)",0,,,,
train,ny,"[0.90,1.00]",0,,,,
train,other,"[0.00,0.10)",1510,0.05697734,0.052980132450331126,0.02751244,-0.003997206638585653
train,other,"[0.10,0.20)",2153,0.16838476,0.17138875986994892,0.021323022,0.0030039992517390812
train,other,"[0.20,0.30)",6845,0.2715369,0.2714390065741417,0.019774057,-9.78801179054023e-05
train,other,"[0.30,0.40)",14018,0.3257317,0.3386360393779426,0.01726788,0.012904344679608881
train,other,"[0.40,0.50)",875,0.4233707,0.4777142857142857,0.023851281,0.05434359656061444
train,other,"[0.50,0.60)",21,0.5931989,0.3333333333333333,0.0005923199,-0.2598655621210734
train,other,"[0.60,0.70)",3,0.6666667,0.6666666666666666,0.0,-1.9868214962137642e-08
train,other,"[0.70,0.80)",0,,,,
train,other,"[0.80,0.90)",0,,,,
train,other,"[0.90,1.00]",0,,,,
train,overlap,"[0.00,0.10)",8316,0.04974833,0.03751803751803752,0.033436812,-0.012230293790327348
train,overlap,"[0.10,0.20)",8495,0.16465232,0.13360800470865214,0.023577528,-0.03104431305372274
train,overlap,"[0.20,0.30)",13574,0.2663879,0.2529836452040666,0.020397693,-0.013404264446736036
train,overlap,"[0.30,0.40)",7942,0.31831014,0.29589524049357846,0.013030989,-0.022414901069837068
train,overlap,"[0.40,0.50)",186,0.42607376,0.41397849462365593,0.025017992,-0.012095265170579295
train,overlap,"[0.50,0.60)",2,0.5931713,0.5,0.0008184075,-0.09317129850387573
train,overlap,"[0.60,0.70)",1,0.6666667,1.0,,0.3333333134651184
train,overlap,"[0.70,0.80)",0,,,,
train,overlap,"[0.80,0.90)",0,,,,
train,overlap,"[0.90,1.00]",0,,,,
validation,asia,"[0.00,0.10)",73,0.036816366,0.136986301369863,0.03116452,0.10016993535299823
validation,asia,"[0.10,0.20)",85,0.17280509,0.2235294117647059,0.017016375,0.050724325986469504
validation,asia,"[0.20,0.30)",256,0.26495844,0.32421875,0.018730609,0.05926030874252319
validation,asia,"[0.30,0.40)",63,0.31788924,0.20634920634920634,0.01241176,-0.11154003701512777
validation,asia,"[0.40,0.50)",2,0.419721,0.0,0.019116798,-0.41972100734710693
validation,asia,"[0.50,0.60)",0,,,,
validation,asia,"[0.60,0.70)",0,,,,
validation,asia,"[0.70,0.80)",0,,,,
validation,asia,"[0.80,0.90)",0,,,,
validation,asia,"[0.90,1.00]",0,,,,
validation,london,"[0.00,0.10)",22,0.04377156,0.13636363636363635,0.019173266,0.09259207512844692
validation,london,"[0.10,0.20)",43,0.16842279,0.13953488372093023,0.01590627,-0.028887904660646307
validation,london,"[0.20,0.30)",159,0.27057347,0.2830188679245283,0.01927104,0.012445400908308202
validation,london,"[0.30,0.40)",75,0.31778488,0.32,0.01145065,0.002215124368667609
validation,london,"[0.40,0.50)",1,0.4062034,0.0,,-0.40620338916778564
validation,london,"[0.50,0.60)",0,,,,
validation,london,"[0.60,0.70)",0,,,,
validation,london,"[0.70,0.80)",0,,,,
