period,state,prob_bucket,n,mean_pred,empirical_rate,score_std,calibration_gap
train,BREAKOUT_WAIT_DOWN,"[0.00,0.10)",0,,,,
train,BREAKOUT_WAIT_DOWN,"[0.10,0.20)",3,0.17862266,1.0,0.015460499,0.8213773369789124
train,BREAKOUT_WAIT_DOWN,"[0.20,0.30)",392,0.2840846,0.30612244897959184,0.012358908,0.02203786069033098
train,BREAKOUT_WAIT_DOWN,"[0.30,0.40)",2796,0.32968304,0.3530042918454936,0.018024584,0.023321256233387266
train,BREAKOUT_WAIT_DOWN,"[0.40,0.50)",177,0.41470325,0.5141242937853108,0.018300125,0.09942104385397532
train,BREAKOUT_WAIT_DOWN,"[0.50,0.60)",0,,,,
train,BREAKOUT_WAIT_DOWN,"[0.60,0.70)",0,,,,
train,BREAKOUT_WAIT_DOWN,"[0.70,0.80)",0,,,,
train,BREAKOUT_WAIT_DOWN,"[0.80,0.90)",0,,,,
train,BREAKOUT_WAIT_DOWN,"[0.90,1.00]",0,,,,
train,BREAKOUT_WAIT_UP,"[0.00,0.10)",0,,,,
train,BREAKOUT_WAIT_UP,"[0.10,0.20)",0,,,,
train,BREAKOUT_WAIT_UP,"[0.20,0.30)",115,0.2874558,0.3217391304347826,0.011195169,0.03428333323934801
train,BREAKOUT_WAIT_UP,"[0.30,0.40)",969,0.33007088,0.3931888544891641,0.018501922,0.06311797145350428
train,BREAKOUT_WAIT_UP,"[0.40,0.50)",73,0.41662395,0.3835616438356164,0.019225234,-0.03306230616896122
train,BREAKOUT_WAIT_UP,"[0.50,0.60)",0,,,,
train,BREAKOUT_WAIT_UP,"[0.60,0.70)",0,,,,
train,BREAKOUT_WAIT_UP,"[0.70,0.80)",0,,,,
train,BREAKOUT_WAIT_UP,"[0.80,0.90)",0,,,,
train,BREAKOUT_WAIT_UP,"[0.90,1.00]",0,,,,
train,LOW_VOL,"[0.00,0.10)",0,,,,
train,LOW_VOL,"[0.10,0.20)",17,0.19562346,0.29411764705882354,0.0054416726,0.09849418962703033
train,LOW_VOL,"[0.20,0.30)",3259,0.2828718,0.33046946916231973,0.013792223,0.04759765658030374
train,LOW_VOL,"[0.30,0.40)",21827,0.32924503,0.3262014935630183,0.017734557,-0.0030435373169560576
train,LOW_VOL,"[0.40,0.50)",1139,0.42042542,0.4302019315188762,0.023107156,0.009776516479813702
train,LOW_VOL,"[0.50,0.60)",20,0.59340274,0.6,0.0005441673,0.006597256660461404
train,LOW_VOL,"[0.60,0.70)",0,,,,
train,LOW_VOL,"[0.70,0.80)",0,,,,
train,LOW_VOL,"[0.80,0.90)",0,,,,
train,LOW_VOL,"[0.90,1.00]",0,,,,
train,RANGE,"[0.00,0.10)",760,0.07056226,0.2894736842105263,0.022923633,0.21891142584775625
train,RANGE,"[0.10,0.20)",4512,0.17239965,0.2557624113475177,0.019879669,0.08336275636304352
train,RANGE,"[0.20,0.30)",16394,0.26992846,0.28284738318897157,0.01977728,0.012918927836188365
train,RANGE,"[0.30,0.40)",12907,0.3168664,0.30254900441620824,0.011089962,-0.01431739344145777
train,RANGE,"[0.40,0.50)",116,0.4151333,0.25,0.017333249,-0.1651332974433899
train,RANGE,"[0.50,0.60)",0,,,,
train,RANGE,"[0.60,0.70)",0,,,,
train,RANGE,"[0.70,0.80)",0,,,,
train,RANGE,"[0.80,0.90)",0,,,,
train,RANGE,"[0.90,1.00]",0,,,,
train,TRANSITION_DOWN,"[0.00,0.10)",701,0.07119273,0.26390870185449355,0.021698758,0.19271597536161178
train,TRANSITION_DOWN,"[0.10,0.20)",4317,0.17139356,0.27055825804957145,0.02056912,0.09916469966658348
train,TRANSITION_DOWN,"[0.20,0.30)",18048,0.27099898,0.2831338652482269,0.019277574,0.012134880672955317
train,TRANSITION_DOWN,"[0.30,0.40)",22877,0.3211161,0.32333785024260175,0.0145131145,0.002221760421739938
train,TRANSITION_DOWN,"[0.40,0.50)",453,0.41510794,0.38631346578366443,0.018118275,-0.02879446988337353
train,TRANSITION_DOWN,"[0.50,0.60)",1,0.5925926,0.0,,-0.5925925970077515
train,TRANSITION_DOWN,"[0.60,0.70)",0,,,,
train,TRANSITION_DOWN,"[0.70,0.80)",0,,,,
train,TRANSITION_DOWN,"[0.80,0.90)",0,,,,
train,TRANSITION_DOWN,"[0.90,1.00]",0,,,,
train,TRANSITION_UP,"[0.00,0.10)",218,0.07364179,0.26605504587155965,0.02087454,0.19241325393182424
train,TRANSITION_UP,"[0.10,0.20)",1072,0.17133358,0.28171641791044777,0.020934397,0.11038283670126503
train,TRANSITION_UP,"[0.20,0.30)",3346,0.27013576,0.2824267782426778,0.019987792,0.0122910179353658
train,TRANSITION_UP,"[0.30,0.40)",3625,0.3215244,0.2979310344827586,0.015227298,-0.023593376957137036
train,TRANSITION_UP,"[0.40,0.50)",76,0.41647604,0.4473684210526316,0.020124987,0.030892379974064077
train,TRANSITION_UP,"[0.50,0.60)",2,0.5925926,1.0,0.0,0.40740740299224854
train,TRANSITION_UP,"[0.60,0.70)",0,,,,
train,TRANSITION_UP,"[0.70,0.80)",0,,,,
train,TRANSITION_UP,"[0.80,0.90)",0,,,,
train,TRANSITION_UP,"[0.90,1.00]",0,,,,
train,TREND_DOWN,"[0.00,0.10)",1831,0.07191479,0.2375750955761879,0.019756936,0.16566030351533584
train,TREND_DOWN,"[0.10,0.20)",5199,0.1684971,0.2408155414502789,0.021413567,0.07231844097782864
train,TREND_DOWN,"[0.20,0.30)",23826,0.27152377,0.2857382691177705,0.018484812,0.014214495447573972
train,TREND_DOWN,"[0.30,0.40)",37229,0.32489663,0.32982352467162696,0.01749188,0.004926891046596438
train,TREND_DOWN,"[0.40,0.50)",2547,0.42276785,0.4126423243031017,0.02391173,-0.010125523473311249
train,TREND_DOWN,"[0.50,0.60)",33,0.5931888,0.6363636363636364,0.00058740424,0.043174814094196656
train,TREND_DOWN,"[0.60,0.70)",6,0.6666667,0.6666666666666666,0.0,-1.9868214962137642e-08
train,TREND_DOWN,"[0.70,0.80)",0,,,,
train,TREND_DOWN,"[0.80,0.90)",0,,,,
train,TREND_DOWN,"[0.90,1.00]",0,,,,
train,TREND_UP,"[0.00,0.10)",1260,0.072006114,0.24047619047619048,0.020262813,0.16847007664896194
train,TREND_UP,"[0.10,0.20)",6240,0.17069499,0.23669871794871794,0.02119077,0.06600372600249754
train,TREND_UP,"[0.20,0.30)",26145,0.27039775,0.27171543316121627,0.019533727,0.0013176806377940276
train,TREND_UP,"[0.30,0.40)",33384,0.32240054,0.32431703810208484,0.016185477,0.0019164979886357458
train,TREND_UP,"[0.40,0.50)",1682,0.41974315,0.4399524375743163,0.021517623,0.0202092871016753
train,TREND_UP,"[0.50,0.60)",3,0.5929784,0.0,0.0006682269,-0.5929784178733826
train,TREND_UP,"[0.60,0.70)",0,,,,
train,TREND_UP,"[0.70,0.80)",0,,,,
train,TREND_UP,"[0.80,0.90)",0,,,,
train,TREND_UP,"[0.90,1.00]",0,,,,
train,VOLATILE,"[0.00,0.10)",18726,0.046438675,0.0,0.032013416,-0.04643867537379265
train,VOLATILE,"[0.10,0.20)",10594,0.16334075,0.0,0.024029663,-0.1633407473564148
train,VOLATILE,"[0.20,0.30)",4167,0.25142658,0.0,0.0211861,-0.2514265775680542
train,VOLATILE,"[0.30,0.40)",295,0.3171403,0.0,0.012494259,-0.3171403110027313
train,VOLATILE,"[0.40,0.50)",8,0.4280741,0.0,0.026478086,-0.42807409167289734
train,VOLATILE,"[0.50,0.60)",0,,,,
train,VOLATILE,"[0.60,0.70)",0,,,,
train,VOLATILE,"[0.70,0.80)",0,,,,
train,VOLATILE,"[0.80,0.90)",0,,,,
train,VOLATILE,"[0.90,1.00]",0,,,,
validation,RANGE,"[0.00,0.10)",16,0.04863642,0.1875,0.022252033,0.13886357843875885
validation,RANGE,"[0.10,0.20)",29,0.17015901,0.3793103448275862,0.012610303,0.2091513327483473
validation,RANGE,"[0.20,0.30)",119,0.27223763,0.20168067226890757,0.019549286,-0.07055695642944143
validation,RANGE,"[0.30,0.40)",71,0.31358156,0.38028169014084506,0.008062267,0.06670013405907321
validation,RANGE,"[0.40,0.50)",0,,,,
validation,RANGE,"[0.50,0.60)",0,,,,
validation,RANGE,"[0.60,0.70)",0,,,,
validation,RANGE,"[0.70,0.80)",0,,,,
validation,RANGE,"[0.80,0.90)",0,,,,
validation,RANGE,"[0.90,1.00]",0,,,,
validation,TRANSITION_DOWN,"[0.00,0.10)",15,0.06926416,0.5333333333333333,0.022310259,0.4640691747268041
validation,TRANSITION_DOWN,"[0.10,0.20)",28,0.17000592,0.35714285714285715,0.013383228,0.18713693959372385
validation,TRANSITION_DOWN,"[0.20,0.30)",99,0.2647539,0.21212121212121213,0.015585336,-0.05263269579771793
validation,TRANSITION_DOWN,"[0.30,0.40)",16,0.31110746,0.375,0.0022075125,0.06389254331588745
validation,TRANSITION_DOWN,"[0.40,0.50)",0,,,,
validation,TRANSITION_DOWN,"[0.50,0.60)",0,,,,
validation,TRANSITION_DOWN,"[0.60,0.70)",0,,,,
validation,TRANSITION_DOWN,"[0.70,0.80)",0,,,,
validation,TRANSITION_DOWN,"[0.80,0.90)",0,,,,
validation,TRANSITION_DOWN,"[0.90,1.00]",0,,,,
validation,TRANSITION_UP,"[0.00,0.10)",6,0.041558582,0.0,0.021078248,-0.041558582335710526
validation,TRANSITION_UP,"[0.10,0.20)",5,0.17314567,0.4,0.013257414,0.22685433328151705
validation,TRANSITION_UP,"[0.20,0.30)",14,0.25294957,0.2857142857142857,0.019224001,0.032764720065253106
validation,TRANSITION_UP,"[0.30,0.40)",0,,,,
validation,TRANSITION_UP,"[0.40,0.50)",0,,,,
validation,TRANSITION_UP,"[0.50,0.60)",0,,,,
validation,TRANSITION_UP,"[0.60,0.70)",0,,,,
validation,TRANSITION_UP,"[0.70,0.80)",0,,,,
validation,TRANSITION_UP,"[0.80,0.90)",0,,,,
validation,TRANSITION_UP,"[0.90,1.00]",0,,,,
validation,TREND_DOWN,"[0.00,0.10)",18,0.06561469,0.1111111111111111,0.022473583,0.04549641824430889
validation,TREND_DOWN,"[0.10,0.20)",39,0.17177571,0.3076923076923077,0.017524783,0.13591659412934232
validation,TREND_DOWN,"[0.20,0.30)",175,0.26942632,0.37142857142857144,0.017645681,0.10200225540569852
validation,TREND_DOWN,"[0.30,0.40)",104,0.32010177,0.33653846153846156,0.013145345,0.016436693760064958
validation,TREND_DOWN,"[0.40,0.50)",2,0.419721,0.0,0.019116798,-0.41972100734710693
validation,TREND_DOWN,"[0.50,0.60)",0,,,,
validation,TREND_DOWN,"[0.60,0.70)",0,,,,
validation,TREND_DOWN,"[0.70,0.80)",0,,,,
validation,TREND_DOWN,"[0.80,0.90)",0,,,,
validation,TREND_DOWN,"[0.90,1.00]",0,,,,
validation,TREND_UP,"[0.00,0.10)",14,0.0572576,0.35714285714285715,0.027838338,0.2998852570142065
validation,TREND_UP,"[0.10,0.20)",35,0.17653152,0.34285714285714286,0.016514571,0.16632561939103263
validation,TREND_UP,"[0.20,0.30)",198,0.26615,0.4444444444444444,0.020239336,0.17829444673326278
