period,prob_bucket,n,mean_pred,empirical_rate,score_std,calibration_gap
train,"[0.00,0.10)",23496,0.051566295,0.05111508341845421,0.031741753,-0.00045121190730186556
train,"[0.10,0.20)",31954,0.16826968,0.16777242285785818,0.022249086,-0.0004972560924515756
train,"[0.20,0.30)",95692,0.27037722,0.2700121222254734,0.019740453,-0.0003650964978237359
train,"[0.30,0.40)",135909,0.32361147,0.3235694472036436,0.016552364,-4.202087306232061e-05
train,"[0.40,0.50)",6271,0.42046794,0.4206665603571998,0.022537384,0.00019861740409005124
train,"[0.50,0.60)",59,0.59322035,0.5932203389830508,0.0005815693,-1.4143475057792898e-08
train,"[0.60,0.70)",6,0.6666667,0.6666666666666666,0.0,-1.9868214962137642e-08
train,"[0.70,0.80)",0,,,,
train,"[0.80,0.90)",0,,,,
train,"[0.90,1.00]",0,,,,
validation,"[0.00,0.10)",279,0.026517428,0.06451612903225806,0.028877389,0.037998700574521094
validation,"[0.10,0.20)",182,0.17093818,0.25824175824175827,0.016176712,0.08730357934485428
validation,"[0.20,0.30)",625,0.26729926,0.3232,0.018963872,0.05590073533058165
validation,"[0.30,0.40)",219,0.3163871,0.3424657534246575,0.011007188,0.026078666317952803
validation,"[0.40,0.50)",3,0.41521513,0.0,0.015608801,-0.4152151346206665
validation,"[0.50,0.60)",0,,,,
validation,"[0.60,0.70)",0,,,,
validation,"[0.70,0.80)",0,,,,
validation,"[0.80,0.90)",0,,,,
validation,"[0.90,1.00]",0,,,,
