period,session,n,pos_rate,auc_roc,auc_pr,brier,log_loss,ece,mce,score_mean,score_std,score_p50,score_p90,score_p95
train,asia,102229,0.2882743644171419,0.5930795534441992,0.35046063731983534,0.19928260964808422,0.5832893882643637,0.007239655253521809,0.3333333134651184,0.28103470916362006,0.07661029381917742,0.3099362552165985,0.34267961978912354,0.3548983335494995
train,london,64015,0.2811840974771538,0.5842061912178396,0.33309118807669796,0.19708273414792568,0.5787901347490713,0.0022145409238413867,0.047769362276250726,0.28034534169158626,0.07383784077511231,0.3099362552165985,0.34267961978912354,0.3548983335494995
train,ny,63202,0.26568779469004145,0.590139309470994,0.3221886443087709,0.19000657163276977,0.562315498392507,0.012222111451346183,0.6666666865348816,0.2713037353569095,0.08256198623026116,0.2976316809654236,0.34267961978912354,0.34491920471191406
train,other,25425,0.2942379547689282,0.6077445943753005,0.3709555338493588,0.2001886929930059,0.584422119948831,0.009717771257342533,0.2598655223846436,0.2854769494610444,0.07956136437241092,0.3099362552165985,0.34491920471191406,0.36201781034469604
train,overlap,38516,0.18979125558209575,0.6847396055671009,0.2876084086942147,0.1440485901107668,0.44749358198963274,0.018905553779763475,0.3333333134651184,0.2086795005388524,0.10160281507881762,0.25169098377227783,0.31384357810020447,0.32025840878486633
validation,asia,479,0.2609603340292276,0.5250960451977401,0.25726849376022903,0.19378524746010933,0.5730728639488678,0.07236132647556355,0.41972100734710693,0.22144436407280163,0.09175245578259829,0.25836995244026184,0.3099362552165985,0.31384357810020447
validation,london,300,0.26,0.5978574728574728,0.35934165420450126,0.1879876862806902,0.5620167592628488,0.01943453326821328,0.40620338916778564,0.2515546886622906,0.07624808416672657,0.27435263991355896,0.31384357810020447,0.32109403312206286
validation,ny,300,0.24333333333333335,0.6725001508659707,0.34239039911599023,0.1689628578196596,0.4935785017069977,0.04148504346919556,0.09376927108868308,0.20940795183492203,0.1084913017422341,0.25836995244026184,0.3099362552165985,0.31384357810020447
validation,other,49,0.3877551020408163,0.7929824561403509,0.618057706435171,0.21147541802445688,0.5739611585407141,0.26883400588923567,0.3923498226536645,0.22420358908723811,0.1200715673672436,0.3099362552165985,0.31384357810020447,0.31384357810020447
validation,overlap,180,0.2611111111111111,0.8257878739401696,0.5168189865614241,0.17290976936557678,0.48060225475136414,0.147710965867413,0.39849860114710667,0.11532749090369585,0.12110074232972573,0.05122449994087219,0.28106406331062317,0.2976316809654236
