period,state,prob_bucket,n,mean_pred,empirical_rate,score_std,calibration_gap
holdout,BREAKOUT_WAIT_DOWN,"[0.00,0.10)",0,,,,
holdout,BREAKOUT_WAIT_DOWN,"[0.10,0.20)",0,,,,
holdout,BREAKOUT_WAIT_DOWN,"[0.20,0.30)",18,0.2866011072761133,0.2222222222222222,0.007868138055983642,-0.06437888505389111
holdout,BREAKOUT_WAIT_DOWN,"[0.30,0.40)",49,0.33228193130908085,0.32653061224489793,0.02798939514336854,-0.005751319064182914
holdout,BREAKOUT_WAIT_DOWN,"[0.40,0.50)",28,0.43246023317193927,0.32142857142857145,0.02046051723763716,-0.11103166174336782
holdout,BREAKOUT_WAIT_DOWN,"[0.50,0.60)",12,0.5324675324675324,0.4166666666666667,0.0,-0.11580086580086574
holdout,BREAKOUT_WAIT_DOWN,"[0.60,0.70)",0,,,,
holdout,BREAKOUT_WAIT_DOWN,"[0.70,0.80)",0,,,,
holdout,BREAKOUT_WAIT_DOWN,"[0.80,0.90)",0,,,,
holdout,BREAKOUT_WAIT_DOWN,"[0.90,1.00]",0,,,,
holdout,BREAKOUT_WAIT_UP,"[0.00,0.10)",0,,,,
holdout,BREAKOUT_WAIT_UP,"[0.10,0.20)",0,,,,
holdout,BREAKOUT_WAIT_UP,"[0.20,0.30)",11,0.27499070891210203,0.2727272727272727,0.010545103116857536,-0.002263436184829326
holdout,BREAKOUT_WAIT_UP,"[0.30,0.40)",4,0.3346484427602752,0.25,0.0261347133891839,-0.08464844276027522
holdout,BREAKOUT_WAIT_UP,"[0.40,0.50)",10,0.44318932187657306,0.5,0.017514239999306055,0.05681067812342694
holdout,BREAKOUT_WAIT_UP,"[0.50,0.60)",6,0.5324675324675324,0.6666666666666666,0.0,0.1341991341991342
holdout,BREAKOUT_WAIT_UP,"[0.60,0.70)",0,,,,
holdout,BREAKOUT_WAIT_UP,"[0.70,0.80)",0,,,,
holdout,BREAKOUT_WAIT_UP,"[0.80,0.90)",0,,,,
holdout,BREAKOUT_WAIT_UP,"[0.90,1.00]",0,,,,
holdout,LOW_VOL,"[0.00,0.10)",0,,,,
holdout,LOW_VOL,"[0.10,0.20)",0,,,,
holdout,LOW_VOL,"[0.20,0.30)",287,0.27388229055233737,0.4076655052264808,0.011896637956765906,0.13378321467414345
holdout,LOW_VOL,"[0.30,0.40)",530,0.3374920377384536,0.42641509433962266,0.025243953896507233,0.08892305660116906
holdout,LOW_VOL,"[0.40,0.50)",259,0.44146278377680753,0.3552123552123552,0.019528643128992294,-0.08625042856445231
holdout,LOW_VOL,"[0.50,0.60)",69,0.5323737654449092,0.6666666666666666,0.0007788873876764383,0.1342929012217574
holdout,LOW_VOL,"[0.60,0.70)",0,,,,
holdout,LOW_VOL,"[0.70,0.80)",0,,,,
holdout,LOW_VOL,"[0.80,0.90)",0,,,,
holdout,LOW_VOL,"[0.90,1.00]",0,,,,
holdout,RANGE,"[0.00,0.10)",5,0.02780585308836602,0.8,0.028372880223142362,0.772194146911634
holdout,RANGE,"[0.10,0.20)",4,0.1677397618614774,0.25,0.014466344556512039,0.0822602381385226
holdout,RANGE,"[0.20,0.30)",2678,0.2763908089621383,0.3196415235250187,0.011890197048889968,0.04325071456288038
holdout,RANGE,"[0.30,0.40)",4245,0.32718289795747274,0.295170789163722,0.022757224325021728,-0.032012108793750715
holdout,RANGE,"[0.40,0.50)",640,0.43019038996858294,0.3625,0.01895876574109832,-0.06769038996858295
holdout,RANGE,"[0.50,0.60)",60,0.5324675324675324,0.2833333333333333,0.0,-0.2491341991341991
holdout,RANGE,"[0.60,0.70)",0,,,,
holdout,RANGE,"[0.70,0.80)",0,,,,
holdout,RANGE,"[0.80,0.90)",0,,,,
holdout,RANGE,"[0.90,1.00]",0,,,,
holdout,TRANSITION_DOWN,"[0.00,0.10)",41,0.007931485328246998,0.21951219512195122,0.02124120801088813,0.21158070979370422
holdout,TRANSITION_DOWN,"[0.10,0.20)",21,0.15328996752628224,0.23809523809523808,0.017531390570848505,0.08480527056895584
holdout,TRANSITION_DOWN,"[0.20,0.30)",2733,0.2770918146655373,0.2843029637760702,0.013036665566523744,0.007211149110532944
holdout,TRANSITION_DOWN,"[0.30,0.40)",4214,0.32402485198119657,0.3170384432842905,0.021526891506214972,-0.006986408696906088
holdout,TRANSITION_DOWN,"[0.40,0.50)",551,0.43286277939658574,0.38475499092558985,0.02017506069625477,-0.048107788470995894
holdout,TRANSITION_DOWN,"[0.50,0.60)",94,0.5324675324675324,0.3829787234042553,0.0,-0.1494888090632771
holdout,TRANSITION_DOWN,"[0.60,0.70)",0,,,,
holdout,TRANSITION_DOWN,"[0.70,0.80)",0,,,,
holdout,TRANSITION_DOWN,"[0.80,0.90)",0,,,,
holdout,TRANSITION_DOWN,"[0.90,1.00]",0,,,,
holdout,TRANSITION_UP,"[0.00,0.10)",3,0.0,0.3333333333333333,0.0,0.3333333333333333
holdout,TRANSITION_UP,"[0.10,0.20)",1,0.18067226890756302,1.0,,0.819327731092437
holdout,TRANSITION_UP,"[0.20,0.30)",643,0.274200873938997,0.29704510108864696,0.012558162369798094,0.022844227149649954
holdout,TRANSITION_UP,"[0.30,0.40)",572,0.3251286704490239,0.263986013986014,0.02257652790162386,-0.06114265646300987
holdout,TRANSITION_UP,"[0.40,0.50)",56,0.4356504060462716,0.32142857142857145,0.021616255661688382,-0.11422183461770014
holdout,TRANSITION_UP,"[0.50,0.60)",9,0.5324675324675324,0.4444444444444444,0.0,-0.088023088023088
holdout,TRANSITION_UP,"[0.60,0.70)",0,,,,
holdout,TRANSITION_UP,"[0.70,0.80)",0,,,,
holdout,TRANSITION_UP,"[0.80,0.90)",0,,,,
holdout,TRANSITION_UP,"[0.90,1.00]",0,,,,
holdout,TREND_DOWN,"[0.00,0.10)",97,0.013839555882602465,0.21649484536082475,0.024830009175758196,0.20265528947822228
holdout,TREND_DOWN,"[0.10,0.20)",329,0.16972897594193748,0.1641337386018237,0.0122059071264537,-0.005595237340113773
holdout,TREND_DOWN,"[0.20,0.30)",8827,0.2659470890770682,0.2568256485782259,0.021351447716575267,-0.009121440498842337
holdout,TREND_DOWN,"[0.30,0.40)",8065,0.32508258879380053,0.3605703657780533,0.022269730099234157,0.03548777698425276
holdout,TREND_DOWN,"[0.40,0.50)",1224,0.43477824283313116,0.40522875816993464,0.02064712929670693,-0.029549484663196512
