period,prob_bucket,n,mean_pred,empirical_rate,score_std,calibration_gap
holdout,"[0.00,0.10)",3475,0.003572523456827481,0.012661870503597123,0.01403545794913276,0.009089347046769641
holdout,"[0.10,0.20)",835,0.1636165846197054,0.10778443113772455,0.015969771461396248,-0.055832153481980853
holdout,"[0.20,0.30)",35251,0.2710261431346888,0.1754560154321863,0.017546955416166823,-0.0955701277025025
holdout,"[0.30,0.40)",35626,0.3244516507843713,0.2312636838264189,0.021835761210553403,-0.09318796695795242
holdout,"[0.40,0.50)",4444,0.4341091332273701,0.31660666066606663,0.02025731358500253,-0.11750247256130347
holdout,"[0.50,0.60)",905,0.5324268847962573,0.37900552486187844,0.0010302062487690213,-0.1534213599343789
holdout,"[0.60,0.70)",0,,,,
holdout,"[0.70,0.80)",0,,,,
holdout,"[0.80,0.90)",0,,,,
holdout,"[0.90,1.00]",0,,,,
train,"[0.00,0.10)",22095,0.04885043146781679,0.04865354152523195,0.025663410787981913,-0.00019688994258484221
train,"[0.10,0.20)",26093,0.1560971814657493,0.15536733989958992,0.016437173705188185,-0.0007298415661593782
train,"[0.20,0.30)",104923,0.26214263956639583,0.2618872887736721,0.024445567817862075,-0.00025535079272370753
train,"[0.30,0.40)",133354,0.3259602946250496,0.3259069844174153,0.020423968186281477,-5.3310207634327256e-05
train,"[0.40,0.50)",6691,0.4272817986782241,0.42773875354954416,0.019371807727098633,0.00045695487132008106
train,"[0.50,0.60)",231,0.5324675440788269,0.5324675324675324,0.0,-1.1611294481461698e-08
train,"[0.60,0.70)",0,,,,
train,"[0.70,0.80)",0,,,,
train,"[0.80,0.90)",0,,,,
train,"[0.90,1.00]",0,,,,
validation,"[0.00,0.10)",164,0.06493733248605234,0.09146341463414634,0.011599066249687963,0.026526082148094002
validation,"[0.10,0.20)",298,0.15421564634514334,0.2181208053691275,0.01652009218649003,0.06390515902398416
validation,"[0.20,0.30)",624,0.2551404525979589,0.2980769230769231,0.025604660643626397,0.04293647047896415
validation,"[0.30,0.40)",215,0.320417456294215,0.35348837209302325,0.021063013871063983,0.033070915798808276
validation,"[0.40,0.50)",7,0.4367823771068028,0.0,0.01932159077207229,-0.4367823771068028
validation,"[0.50,0.60)",0,,,,
validation,"[0.60,0.70)",0,,,,
validation,"[0.70,0.80)",0,,,,
validation,"[0.80,0.90)",0,,,,
validation,"[0.90,1.00]",0,,,,
