period,state,prob_bucket,n,mean_pred,empirical_rate,score_std,calibration_gap
holdout,BREAKOUT_WAIT_DOWN,"[0.00,0.10)",0,,,,
holdout,BREAKOUT_WAIT_DOWN,"[0.10,0.20)",0,,,,
holdout,BREAKOUT_WAIT_DOWN,"[0.20,0.30)",4,0.2908109224873864,0.5,0.006739532877263884,0.20918907751261362
holdout,BREAKOUT_WAIT_DOWN,"[0.30,0.40)",103,0.35468875154134566,0.49514563106796117,0.024152956786098,0.1404568795266155
holdout,BREAKOUT_WAIT_DOWN,"[0.40,0.50)",0,,,,
holdout,BREAKOUT_WAIT_DOWN,"[0.50,0.60)",0,,,,
holdout,BREAKOUT_WAIT_DOWN,"[0.60,0.70)",0,,,,
holdout,BREAKOUT_WAIT_DOWN,"[0.70,0.80)",0,,,,
holdout,BREAKOUT_WAIT_DOWN,"[0.80,0.90)",0,,,,
holdout,BREAKOUT_WAIT_DOWN,"[0.90,1.00]",0,,,,
holdout,BREAKOUT_WAIT_UP,"[0.00,0.10)",0,,,,
holdout,BREAKOUT_WAIT_UP,"[0.10,0.20)",0,,,,
holdout,BREAKOUT_WAIT_UP,"[0.20,0.30)",1,0.2852737352737355,0.0,,-0.2852737352737355
holdout,BREAKOUT_WAIT_UP,"[0.30,0.40)",30,0.35618193524578945,0.23333333333333334,0.020631759749159814,-0.12284860191245611
holdout,BREAKOUT_WAIT_UP,"[0.40,0.50)",0,,,,
holdout,BREAKOUT_WAIT_UP,"[0.50,0.60)",0,,,,
holdout,BREAKOUT_WAIT_UP,"[0.60,0.70)",0,,,,
holdout,BREAKOUT_WAIT_UP,"[0.70,0.80)",0,,,,
holdout,BREAKOUT_WAIT_UP,"[0.80,0.90)",0,,,,
holdout,BREAKOUT_WAIT_UP,"[0.90,1.00]",0,,,,
holdout,LOW_VOL,"[0.00,0.10)",0,,,,
holdout,LOW_VOL,"[0.10,0.20)",0,,,,
holdout,LOW_VOL,"[0.20,0.30)",35,0.28848852916789625,0.5714285714285714,0.005234944318024744,0.28294004226067515
holdout,LOW_VOL,"[0.30,0.40)",1110,0.34714914592060364,0.36036036036036034,0.02344216636419145,0.013211214439756702
holdout,LOW_VOL,"[0.40,0.50)",0,,,,
holdout,LOW_VOL,"[0.50,0.60)",0,,,,
holdout,LOW_VOL,"[0.60,0.70)",0,,,,
holdout,LOW_VOL,"[0.70,0.80)",0,,,,
holdout,LOW_VOL,"[0.80,0.90)",0,,,,
holdout,LOW_VOL,"[0.90,1.00]",0,,,,
holdout,RANGE,"[0.00,0.10)",9,0.06527887326398726,0.4444444444444444,0.006549676002388036,0.37916557118045713
holdout,RANGE,"[0.10,0.20)",14,0.16896129127225584,0.0,0.013780495532040336,-0.16896129127225584
holdout,RANGE,"[0.20,0.30)",840,0.2861212136107265,0.34285714285714286,0.012362830033827418,0.05673592924641635
holdout,RANGE,"[0.30,0.40)",6769,0.33980145471450707,0.3400797754468902,0.02307141634637839,0.0002783207323831527
holdout,RANGE,"[0.40,0.50)",0,,,,
holdout,RANGE,"[0.50,0.60)",0,,,,
holdout,RANGE,"[0.60,0.70)",0,,,,
holdout,RANGE,"[0.70,0.80)",0,,,,
holdout,RANGE,"[0.80,0.90)",0,,,,
holdout,RANGE,"[0.90,1.00]",0,,,,
holdout,TRANSITION_DOWN,"[0.00,0.10)",25,0.06196313338366962,0.48,0.0052319833767474665,0.4180368666163304
holdout,TRANSITION_DOWN,"[0.10,0.20)",23,0.16342547805214216,0.34782608695652173,0.012206336025651349,0.18440060890437956
holdout,TRANSITION_DOWN,"[0.20,0.30)",1390,0.2849616177889768,0.2820143884892086,0.012504792982547594,-0.0029472292997681504
holdout,TRANSITION_DOWN,"[0.30,0.40)",6216,0.33466586928281084,0.32802445302445304,0.022829433185954998,-0.006641416258357791
holdout,TRANSITION_DOWN,"[0.40,0.50)",0,,,,
holdout,TRANSITION_DOWN,"[0.50,0.60)",0,,,,
holdout,TRANSITION_DOWN,"[0.60,0.70)",0,,,,
holdout,TRANSITION_DOWN,"[0.70,0.80)",0,,,,
holdout,TRANSITION_DOWN,"[0.80,0.90)",0,,,,
holdout,TRANSITION_DOWN,"[0.90,1.00]",0,,,,
holdout,TRANSITION_UP,"[0.00,0.10)",3,0.06091242259572858,0.0,0.0,-0.06091242259572858
holdout,TRANSITION_UP,"[0.10,0.20)",1,0.17566216891554226,0.0,,-0.17566216891554226
holdout,TRANSITION_UP,"[0.20,0.30)",117,0.28511700353006325,0.3162393162393162,0.013226872210940462,0.031122312709252975
holdout,TRANSITION_UP,"[0.30,0.40)",1163,0.3369221585322207,0.32158211521926056,0.021095268955503205,-0.015340043312960128
holdout,TRANSITION_UP,"[0.40,0.50)",0,,,,
holdout,TRANSITION_UP,"[0.50,0.60)",0,,,,
holdout,TRANSITION_UP,"[0.60,0.70)",0,,,,
holdout,TRANSITION_UP,"[0.70,0.80)",0,,,,
holdout,TRANSITION_UP,"[0.80,0.90)",0,,,,
holdout,TRANSITION_UP,"[0.90,1.00]",0,,,,
holdout,TREND_DOWN,"[0.00,0.10)",114,0.060098576230141476,0.32456140350877194,0.008555536496834678,0.26446282727863046
holdout,TREND_DOWN,"[0.10,0.20)",142,0.16553640593373165,0.2887323943661972,0.015284404427350655,0.12319598843246554
holdout,TREND_DOWN,"[0.20,0.30)",6997,0.2825866740008057,0.25882521080463056,0.014584918696267782,-0.02376146319617517
holdout,TREND_DOWN,"[0.30,0.40)",11552,0.3290462718324274,0.3416724376731302,0.022665549378974623,0.012626165840702808
holdout,TREND_DOWN,"[0.40,0.50)",0,,,,
holdout,TREND_DOWN,"[0.50,0.60)",0,,,,
holdout,TREND_DOWN,"[0.60,0.70)",0,,,,
holdout,TREND_DOWN,"[0.70,0.80)",0,,,,
holdout,TREND_DOWN,"[0.80,0.90)",0,,,,
holdout,TREND_DOWN,"[0.90,1.00]",0,,,,
holdout,TREND_UP,"[0.00,0.10)",56,0.06170350266560195,0.125,0.007773186687639025,0.06329649733439804
holdout,TREND_UP,"[0.10,0.20)",93,0.16658112980655188,0.11827956989247312,0.01619489957475706,-0.04830155991407875
holdout,TREND_UP,"[0.20,0.30)",3965,0.2822734343662389,0.2421185372005044,0.01601327189117452,-0.040154897165734504
holdout,TREND_UP,"[0.30,0.40)",12583,0.3264788532887971,0.30231264404355085,0.02009145042891284,-0.024166209245246262
holdout,TREND_UP,"[0.40,0.50)",0,,,,
