period,prob_bucket,n,mean_pred,empirical_rate,score_std,calibration_gap
holdout,"[0.00,0.10)",2765,0.035198277282922234,0.0216998191681736,0.027035681825146155,-0.013498458114748636
holdout,"[0.10,0.20)",971,0.1631774942594294,0.061791967044284246,0.017181783712043965,-0.10138552721514515
holdout,"[0.20,0.30)",21001,0.28159782962284224,0.16713489833817438,0.016450573295545487,-0.11446293128466786
holdout,"[0.30,0.40)",55799,0.33228965741537486,0.23161705406906935,0.022817844696245457,-0.10067260334630551
holdout,"[0.40,0.50)",0,,,,
holdout,"[0.50,0.60)",0,,,,
holdout,"[0.60,0.70)",0,,,,
holdout,"[0.70,0.80)",0,,,,
holdout,"[0.80,0.90)",0,,,,
holdout,"[0.90,1.00]",0,,,,
train,"[0.00,0.10)",26256,0.0312009324769469,0.06131931748933577,0.02274038795748686,0.030118385012388872
train,"[0.10,0.20)",48760,0.14258732937254973,0.19997949138638227,0.028625508434069927,0.05739216201383254
train,"[0.20,0.30)",185874,0.2528643049804375,0.30274271818543746,0.022249907128702437,0.04987841320499997
train,"[0.30,0.40)",32497,0.3232914402401843,0.3616026094716435,0.013379857904776247,0.03831116923145922
train,"[0.40,0.50)",0,,,,
train,"[0.50,0.60)",0,,,,
train,"[0.60,0.70)",0,,,,
train,"[0.70,0.80)",0,,,,
train,"[0.80,0.90)",0,,,,
train,"[0.90,1.00]",0,,,,
validation,"[0.00,0.10)",357,0.04113545934004443,0.12044817927170869,0.01871307090447077,0.07931271993166425
validation,"[0.10,0.20)",409,0.13347422708654755,0.21026894865525672,0.029635342405816462,0.07679472156870917
validation,"[0.20,0.30)",542,0.23816804651074744,0.28044280442804426,0.0178500945743385,0.04227475791729682
validation,"[0.30,0.40)",0,,,,
validation,"[0.40,0.50)",0,,,,
validation,"[0.50,0.60)",0,,,,
validation,"[0.60,0.70)",0,,,,
validation,"[0.70,0.80)",0,,,,
validation,"[0.80,0.90)",0,,,,
validation,"[0.90,1.00]",0,,,,
