period,state,n,pos_rate,auc_roc,auc_pr,brier,log_loss,ece,mce,score_mean,score_std,score_p50,score_p90,score_p95
holdout,BREAKOUT_WAIT_DOWN,107,0.4953271028037383,0.476764500349406,0.4933124959820248,0.27325561865240117,0.7426099718523197,0.14302630748870887,0.20918907751261356,0.3523007953150294,0.026537028449326792,0.36148310102942516,0.38824503311258274,0.38824503311258274
holdout,BREAKOUT_WAIT_UP,31,0.22580645161290322,0.6160714285714286,0.38160706288785107,0.18811878393214662,0.5656653306849364,0.1280881223434651,0.2852737352737355,0.3538945739563683,0.023561995062869063,0.3609854198089492,0.38824503311258274,0.38824503311258274
holdout,LOW_VOL,1145,0.36681222707423583,0.528807881773399,0.41249854215350595,0.2324608242195751,0.6578546864210193,0.021456200443016216,0.28294004226067515,0.34535602663121956,0.025200023240050964,0.34889802017183413,0.3787015945330296,0.38824503311258274
holdout,RANGE,7632,0.3398846960167715,0.518853169267461,0.3580313953474815,0.22442134037347342,0.6413160452325524,0.007248438393989342,0.37916557118045713,0.33325613657399056,0.030098569345411552,0.3288999098286745,0.36349453978159124,0.3787015945330296
holdout,TRANSITION_DOWN,7654,0.3202247191011236,0.5309618003547996,0.34669518924213055,0.2177618927236631,0.6282627922091492,0.00784842276702893,0.4180368666163304,0.3242340680060649,0.03351028204457168,0.32416778441653454,0.3622887637118294,0.3641114982578397
holdout,TRANSITION_UP,1284,0.32009345794392524,0.5362371552077324,0.34556204514098565,0.21691783446883325,0.6250455212431436,0.017009486290232058,0.17566216891554226,0.3314311208899477,0.02883015342091303,0.32416778441653454,0.3622887637118294,0.36349453978159124
holdout,TREND_DOWN,18805,0.3103429938846052,0.5596688465366165,0.35265689086487056,0.21278272139119797,0.6174470769878956,0.019131029962382883,0.26446282727863046,0.3088943843405831,0.03787224737546501,0.3080679968197478,0.36148310102942516,0.3622887637118294
holdout,TREND_UP,16697,0.28639875426723366,0.5666054144502227,0.33721331313732295,0.20329656445824576,0.5963732472952744,0.028228677434138264,0.06329649733439804,0.31420285197438785,0.03252042841724469,0.3164454806312769,0.3609854198089492,0.3622887637118294
holdout,VOLATILE,27181,0.0,,,0.08980685145779681,0.34327545735325815,0.28554047913042446,0.3335224690434426,0.28554047913042446,0.0909587062120194,0.3080679968197478,0.36148310102942516,0.36349453978159124
train,BREAKOUT_WAIT_DOWN,3368,0.35421615201900236,0.5290044416182521,0.3804378487800253,0.23216454551542529,0.6582789346511735,0.06388345202364717,0.09674220532178879,0.291136970110857,0.032498612670681756,0.2835105359554291,0.3255684971809387,0.34443730115890503
train,BREAKOUT_WAIT_UP,1157,0.3258426966292135,0.5140447527715433,0.35202840712049976,0.22092450424568316,0.6343358289667155,0.03575350059552139,0.05875600023241645,0.2924296697255549,0.032496164436006385,0.2835105359554291,0.3255684971809387,0.34682617783546504
train,LOW_VOL,26262,0.33158175310334326,0.5340175200048106,0.35246512011609277,0.22349931058200675,0.6401131567810714,0.04984691989477679,0.11962724779939796,0.28173483320856646,0.03411398417033759,0.2778626084327698,0.3230888247489929,0.3255684971809387
train,RANGE,34689,0.3000086482746692,0.5238791897868126,0.3209119395113877,0.21795677753732956,0.6448106394349066,0.07574882172454,0.22005416365156705,0.22425982655012924,0.06657800938524429,0.2325468808412552,0.2835105359554291,0.30766624212265015
train,TRANSITION_DOWN,46397,0.301506562924327,0.534482294989721,0.32616402147756673,0.21566129915514445,0.6334732048712141,0.06347404156824445,0.22376022329442485,0.23803252135608255,0.060808033883405305,0.24557919800281525,0.30766624212265015,0.3230888247489929
train,TRANSITION_UP,8339,0.2927209497541672,0.5695724975824855,0.338435778704812,0.20847088208930117,0.6132630880432881,0.05794149552542497,0.15447370524038673,0.2347794542287422,0.06302941224649078,0.24557919800281525,0.2950635254383087,0.3230888247489929
train,TREND_DOWN,70671,0.308358449717706,0.5357170247777492,0.33833509276622714,0.21806794003799976,0.6364300504831673,0.06615510147803257,0.21480932204717346,0.24220334823967343,0.06070069340331591,0.24557919800281525,0.32247593998908997,0.32408156991004944
train,TREND_UP,68714,0.29800331810111474,0.5454779187542402,0.32926763130013526,0.21277826377784695,0.6230710413319968,0.06438384617705122,0.1592621726224677,0.2336194719240636,0.058859528653873304,0.24557919800281525,0.2835105359554291,0.3217298686504364
train,VOLATILE,33790,0.0,,,0.010634525757229368,0.08325420399838408,0.07724208005933718,0.3128071029980977,0.07724208005933718,0.06832413062261616,0.036102306097745895,0.17332619428634644,0.2213531732559204
validation,RANGE,235,0.3829787234042553,0.5570498084291188,0.4515791892845702,0.28486960191364685,0.8407202912959398,0.223631784977748,0.3359847841784358,0.15934693842650727,0.06909213782308342,0.17317014932632446,0.2325468808412552,0.2588571012020111
validation,TRANSITION_DOWN,158,0.2974683544303797,0.5463868123442591,0.42121718532272734,0.23189624449826873,0.7227089650559867,0.15317785018418406,0.2867157069700105,0.14429050424619566,0.06858835456093976,0.11770949512720108,0.2318742573261261,0.2325468808412552
validation,TRANSITION_UP,25,0.48,0.1794871794871795,0.4094027028905546,0.4314021784569231,1.5111186167801172,0.38517584808170796,0.7805982403118502,0.09482415191829205,0.061394943470661587,0.109267458319664,0.19132809340953835,0.21959479749202726
validation,TREND_DOWN,338,0.23372781065088757,0.5747030936904355,0.30031207074747907,0.1796976396001339,0.5524109100035409,0.03123793867829988,0.08136716700461974,0.2024898719725877,0.06563514399359821,0.2318742573261261,0.26579257547855384,0.2778626084327698
validation,TREND_UP,273,0.19413919413919414,0.547770154373928,0.24152270489356822,0.15942279674674686,0.5174116182245223,0.03503029841261032,0.2550385663285851,0.19180120444505205,0.06469763909230121,0.2213531732559204,0.2584615647792816,0.2588571012020111
validation,VOLATILE,279,0.0,,,0.004835589822903295,0.0562448421164957,0.05356652162114565,0.2462148606777191,0.053566521621145655,0.04434205209859633,0.03309013321995735,0.109267458319664,0.14855201095342566
