feature_1,feature_2,corr_train,corr_holdout,delta_corr
ema_9_dist_bps,efficiency_20,0.0015265044308039747,-0.4427833343693427,0.4443098388001467
ema_21_dist_bps,efficiency_20,0.026914304418068805,-0.41269122851708606,0.43960553293515486
ema_50_dist_bps,efficiency_20,0.03974546323159546,-0.3345264329437925,0.3742718961753879
ema_9_slope_bps,efficiency_20,0.012549361540992279,-0.3538792847951475,0.3664286463361398
ema_21_slope_bps,efficiency_20,0.037764565294203745,-0.3165056894383293,0.35427025473253304
ema_50_slope_bps,efficiency_20,0.047301750684601906,-0.2501025637608892,0.2974043144454911
adx_norm,efficiency_20,0.46254881142585325,0.2556016908360738,0.20694712058977943
ema_9_dist_bps,exhaustion_score,0.3017550948859932,0.1055462387797771,0.19620885610621613
efficiency_20,bb_width_bps_z,0.5467001220632419,0.351753739361732,0.19494638270150993
ema_9_slope_bps,exhaustion_score,0.21295917634906328,0.029235170816931014,0.18372400553213225
