period,bucket,n,mean_score,empirical_rate,calibration_gap
train,"(0.177, 0.345]",21978,0.3191741984515544,0.32236782236782235,-0.003193623916267929
train,"(0.345, 0.353]",1071,0.3527444303035736,0.37628384687208216,-0.023539416568508553
train,"(0.353, 0.366]",1582,0.3662495168135531,0.3584070796460177,0.00784243716753541
train,"(0.366, 0.391]",416,0.39063793420791626,0.3701923076923077,0.02044562651560855
train,"(0.391, 0.426]",604,0.4124983566881016,0.3741721854304636,0.038326171257637986
train,"(0.426, 0.429]",203,0.42881500720977783,0.43842364532019706,-0.009608638110419232
train,"(0.429, 0.447]",231,0.4446957183606697,0.4069264069264069,0.037769311434262764
train,"(0.447, 0.532]",177,0.4722455361131894,0.4858757062146893,-0.013630170101499861
holdout,"(0.177, 0.345]",586,0.2969142233386821,0.40102389078498296,-0.10410966744630085
holdout,"(0.345, 0.353]",79,0.3451937747940189,0.4430379746835443,-0.09784419988952536
holdout,"(0.353, 0.366]",110,0.3618741872846287,0.5,-0.13812581271537128
holdout,"(0.391, 0.426]",107,0.4054305409057057,0.3644859813084112,0.04094455959729448
holdout,"(0.426, 0.429]",37,0.42881500426257463,0.21621621621621623,0.2125987880463584
holdout,"(0.429, 0.447]",15,0.4417040358744393,0.13333333333333333,0.308370702541106
holdout,"(0.447, 0.532]",211,0.4815481561352909,0.5071090047393365,-0.025560848604045616
