period,bucket,n,mean_score,empirical_rate,calibration_gap
train,"(-0.001, 0.311]",28080,0.2567390314549104,0.28044871794871795,-0.023709686493807558
train,"(0.311, 0.318]",3573,0.31736634564506483,0.3033865099356283,0.013979835709436506
train,"(0.318, 0.335]",1494,0.3313658313259702,0.31258366800535475,0.01878216332061544
train,"(0.335, 0.345]",1091,0.3427122719346876,0.3226397800183318,0.020072491916355795
train,"(0.345, 0.353]",170,0.3527444303035736,0.3176470588235294,0.035097371480044215
train,"(0.353, 0.447]",281,0.3794595658567028,0.40213523131672596,-0.022675665460023142
holdout,"(-0.001, 0.311]",3982,0.285201234031793,0.31115017579105975,-0.025948941759266764
holdout,"(0.311, 0.318]",324,0.31449805755835836,0.35802469135802467,-0.043526633799666314
holdout,"(0.318, 0.335]",898,0.31822663269953044,0.2962138084632517,0.02201282423627876
holdout,"(0.335, 0.345]",531,0.3362125883672382,0.3145009416195857,0.021711646747652524
holdout,"(0.345, 0.353]",539,0.3451937747940189,0.2727272727272727,0.07246650206674621
holdout,"(0.353, 0.447]",1118,0.3896172533012061,0.3032200357781753,0.08639721752303081
