period,bucket,n,mean_score,empirical_rate,calibration_gap
train,"(0.007109999999999999, 0.318]",37853,0.26956819153952993,0.2937679972525295,-0.024199805712999567
train,"(0.318, 0.335]",3319,0.3317501146630301,0.3365471527568545,-0.004797038093824368
train,"(0.335, 0.338]",900,0.3376971483230591,0.3611111111111111,-0.023413962788052023
train,"(0.338, 0.345]",2291,0.3451646598001486,0.3360977738978612,0.00906688590228738
train,"(0.345, 0.366]",1386,0.3605099544251636,0.329004329004329,0.03150562542083457
train,"(0.366, 0.391]",203,0.39063793420791626,0.3497536945812808,0.040884239626635455
train,"(0.391, 0.532]",445,0.4246082004536404,0.3955056179775281,0.029102582476112304
holdout,"(0.007109999999999999, 0.318]",4587,0.2879842043139431,0.2986701547852627,-0.010685950471319594
holdout,"(0.318, 0.335]",923,0.31815373330565216,0.27735644637053086,0.0407972869351213
holdout,"(0.335, 0.338]",413,0.33542097107438007,0.3341404358353511,0.0012805352390289904
holdout,"(0.338, 0.345]",163,0.33817133794099485,0.37423312883435583,-0.03606179089336098
holdout,"(0.345, 0.366]",776,0.3533959483288476,0.327319587628866,0.026076360699981593
holdout,"(0.391, 0.532]",757,0.43898386971623743,0.380449141347424,0.058534728368813405
