period,bucket,n,mean_score,empirical_rate,calibration_gap
train,"(0.028, 0.318]",6904,0.2601079739428418,0.28143105446118194,-0.021323080518340143
train,"(0.318, 0.335]",524,0.3314342725140448,0.31297709923664124,0.018457173277403538
train,"(0.335, 0.338]",142,0.3376971483230591,0.36619718309859156,-0.02850003477553248
train,"(0.338, 0.345]",402,0.3451667634112325,0.3208955223880597,0.024271241023172796
train,"(0.345, 0.366]",226,0.36070844755236026,0.3141592920353982,0.04654915551696204
train,"(0.366, 0.407]",80,0.39748530760407447,0.5125,-0.11501469239592549
train,"(0.407, 0.532]",61,0.44592162282740483,0.3442622950819672,0.10165932774543762
holdout,"(0.028, 0.318]",882,0.2828012350451619,0.2925170068027211,-0.009715771757559166
holdout,"(0.318, 0.335]",131,0.31814109297614446,0.2900763358778626,0.02806475709828188
holdout,"(0.335, 0.338]",51,0.3354209710743802,0.17647058823529413,0.15895038283908605
holdout,"(0.338, 0.345]",15,0.3384898876566898,0.4666666666666667,-0.12817677900997687
holdout,"(0.345, 0.366]",120,0.35444665257291924,0.225,0.12944665257291924
holdout,"(0.366, 0.407]",22,0.392913745427853,0.2727272727272727,0.1201864727005803
holdout,"(0.407, 0.532]",60,0.45308955336347956,0.3333333333333333,0.11975622003014624
