period,bucket,n,mean_score,empirical_rate,calibration_gap
train,"(-0.001, 0.338]",57273,0.27449605888375916,0.29411764705882354,-0.019621588175064375
train,"(0.338, 0.345]",5318,0.34516577228158435,0.3420458819104927,0.0031198903710916714
train,"(0.345, 0.353]",1747,0.3527444303035736,0.366914710933028,-0.014170280629454413
train,"(0.353, 0.366]",2903,0.36628182172323565,0.36513951085084395,0.0011423108723916942
train,"(0.366, 0.407]",1767,0.39836795074020864,0.4012450481041313,-0.002877097363922665
train,"(0.407, 0.426]",395,0.42626070976257324,0.4481012658227848,-0.02184055606021157
train,"(0.426, 0.442]",597,0.43246365991269725,0.4321608040201005,0.00030285589259676504
train,"(0.442, 0.532]",671,0.46368688735805574,0.5081967213114754,-0.044509833953419675
holdout,"(-0.001, 0.338]",15088,0.2806207742729414,0.2881760339342524,-0.007555259661310987
holdout,"(0.338, 0.345]",298,0.3381360867813093,0.4228187919463087,-0.08468270516499943
holdout,"(0.345, 0.353]",813,0.34519377479401897,0.4194341943419434,-0.07424041954792443
holdout,"(0.353, 0.366]",896,0.36156663739526096,0.3783482142857143,-0.016781576890453342
holdout,"(0.366, 0.407]",303,0.39327962905668823,0.44554455445544555,-0.05226492539875732
holdout,"(0.407, 0.426]",357,0.4145232737018696,0.36134453781512604,0.053178735886743544
holdout,"(0.426, 0.442]",190,0.4288150042625745,0.47368421052631576,-0.044869206263741246
holdout,"(0.442, 0.532]",860,0.47751870782473055,0.44651162790697674,0.03100707991775381
