period,bucket,n,mean_score,empirical_rate,calibration_gap
train,"(0.00046999999999999993, 0.335]",57516,0.2684426514600203,0.28397315529591766,-0.01553050383589738
train,"(0.335, 0.338]",1365,0.3376971483230591,0.3252747252747253,0.012422423048333797
train,"(0.338, 0.345]",3531,0.3451682943877131,0.34069668649107904,0.004471607896634089
train,"(0.345, 0.366]",3288,0.36129531742882554,0.36405109489051096,-0.002755777461685427
train,"(0.366, 0.407]",1471,0.39812344912361075,0.4078857919782461,-0.009762342854635342
train,"(0.407, 0.426]",325,0.42626070976257324,0.40923076923076923,0.01702994053180401
train,"(0.426, 0.447]",803,0.43720360065011277,0.44084682440846823,-0.0036432237583554627
train,"(0.447, 0.532]",415,0.477649788109653,0.4506024096385542,0.027047378471098782
holdout,"(0.00046999999999999993, 0.335]",12673,0.2849757246313852,0.2707330545253689,0.01424267010601632
holdout,"(0.335, 0.338]",742,0.3354209710743801,0.32075471698113206,0.014666254093248066
holdout,"(0.338, 0.345]",341,0.3379586909771474,0.31671554252199413,0.021243148455153293
holdout,"(0.345, 0.366]",1533,0.35286057199132503,0.3268101761252446,0.026050395866080434
holdout,"(0.366, 0.407]",271,0.392813202797457,0.33948339483394835,0.05332980796350867
holdout,"(0.407, 0.426]",258,0.4166470031549653,0.4806201550387597,-0.06397315188379443
holdout,"(0.426, 0.447]",225,0.43334048647296264,0.3377777777777778,0.09556270869518485
holdout,"(0.447, 0.532]",615,0.4883381395284685,0.34146341463414637,0.14687472489432213
