period,bucket,n,mean_score,empirical_rate,calibration_gap
train,"(-0.001, 0.181]",27327,0.08403922261996179,0.0,0.08403922261996179
train,"(0.181, 0.216]",2679,0.21146919779943948,0.0,0.21146919779943948
train,"(0.216, 0.243]",1255,0.23717710505206271,0.0,0.23717710505206271
train,"(0.243, 0.258]",1127,0.25794099648123625,0.0,0.25794099648123625
train,"(0.258, 0.269]",672,0.26735793204889413,0.0,0.26735793204889413
train,"(0.269, 0.275]",182,0.27476802468299866,0.0,0.27476802468299866
train,"(0.275, 0.294]",247,0.2862121505051972,0.0,0.2862121505051972
train,"(0.294, 0.461]",301,0.31947488166961163,0.0,0.31947488166961163
holdout,"(-0.001, 0.181]",3613,0.017273398923088334,0.0,0.017273398923088334
holdout,"(0.181, 0.216]",91,0.20502096186810945,0.0,0.20502096186810945
holdout,"(0.216, 0.243]",309,0.21787627789030337,0.0,0.21787627789030337
holdout,"(0.243, 0.258]",498,0.2455526111667826,0.0,0.2455526111667826
holdout,"(0.258, 0.269]",2226,0.2599682590249535,0.0,0.2599682590249535
holdout,"(0.269, 0.275]",3165,0.26917964804083144,0.0,0.26917964804083144
holdout,"(0.275, 0.294]",4657,0.279516197372017,0.0,0.279516197372017
holdout,"(0.294, 0.461]",12314,0.3238020202951365,0.0,0.3238020202951365
