period,bucket,n,mean_score,empirical_rate,calibration_gap
train,"(0.108, 0.322]",21012,0.26997646039457135,0.3239577384351799,-0.05398127804060854
train,"(0.322, 0.323]",2800,0.3230888247489929,0.3678571428571429,-0.04476831810814996
train,"(0.323, 0.326]",1330,0.3246014354596461,0.337593984962406,-0.01299254950275991
train,"(0.326, 0.344]",568,0.3394635295049405,0.35563380281690143,-0.016170273311960914
train,"(0.344, 0.356]",532,0.35638168454170227,0.40037593984962405,-0.04399425530792178
train,"(0.356, 0.371]",20,0.3697922259569168,0.35,0.01979222595691682
holdout,"(0.108, 0.322]",177,0.30759396546993595,0.3898305084745763,-0.08223654300464034
holdout,"(0.323, 0.326]",195,0.3241677844165345,0.3384615384615385,-0.014293754045003992
holdout,"(0.326, 0.344]",140,0.333495076189304,0.32857142857142857,0.0049236476178754485
holdout,"(0.344, 0.356]",112,0.3490162598861364,0.3125,0.03651625988613638
holdout,"(0.356, 0.371]",381,0.36200790797570975,0.35958005249343833,0.0024278554822714238
