period,bucket,n,mean_score,empirical_rate,calibration_gap
train,"(-0.000339, 0.278]",31014,0.21432500800095425,0.294060746759528,-0.07973573875857373
train,"(0.278, 0.284]",494,0.2835105359554291,0.305668016194332,-0.022157480238902905
train,"(0.284, 0.308]",1671,0.29936434028035935,0.3494913225613405,-0.05012698228098117
train,"(0.308, 0.323]",1053,0.32266727024786607,0.36562203228869894,-0.04295476204083287
train,"(0.323, 0.324]",201,0.32408156991004944,0.3681592039800995,-0.044077634070050054
train,"(0.324, 0.357]",256,0.34012608032207936,0.36328125,-0.02315516967792064
holdout,"(-0.000339, 0.278]",103,0.23095027936867793,0.33980582524271846,-0.10885554587404053
holdout,"(0.278, 0.284]",35,0.2812503716500637,0.2857142857142857,-0.004463914064221974
holdout,"(0.284, 0.308]",725,0.2891905456378919,0.3406896551724138,-0.05149910953452186
holdout,"(0.308, 0.323]",1566,0.311553539006945,0.31353767560664114,-0.0019841365996961513
holdout,"(0.324, 0.357]",2773,0.3326109018329891,0.3436711143166246,-0.011060212483635534
