period,bucket,n,mean_score,empirical_rate,calibration_gap
train,"(-0.000796, 0.278]",39381,0.224886816832463,0.2943805388385262,-0.06949372200606321
train,"(0.278, 0.284]",709,0.2835105359554291,0.3723554301833568,-0.08884489422792774
train,"(0.284, 0.308]",2842,0.2995360079028085,0.33391977480647433,-0.03438376690366585
train,"(0.308, 0.323]",2127,0.32263523767573987,0.32910202162670427,-0.006466783950964394
train,"(0.323, 0.324]",470,0.32408156991004944,0.30638297872340425,0.017698591186645185
train,"(0.324, 0.344]",559,0.333574963703565,0.40250447227191416,-0.06892950856834917
train,"(0.344, 0.371]",309,0.3572976120467325,0.36893203883495146,-0.011634426788218966
holdout,"(-0.000796, 0.278]",235,0.23201561250670272,0.30638297872340425,-0.07436736621670154
holdout,"(0.278, 0.284]",56,0.28095984748599134,0.26785714285714285,0.013102704628848494
holdout,"(0.284, 0.308]",1147,0.2887071426836775,0.2833478639930253,0.0053592786906521694
holdout,"(0.308, 0.323]",1882,0.3112861019372744,0.30924548352816156,0.0020406184091128488
holdout,"(0.324, 0.344]",2196,0.32725866136023285,0.32650273224043713,0.0007559291197957174
holdout,"(0.344, 0.371]",1764,0.3581165656851424,0.33900226757369617,0.019114298111446215
