period,bucket,n,mean_score,empirical_rate,calibration_gap
train,"(-0.000796, 0.278]",7185,0.2224672553307945,0.2810020876826722,-0.0585348323518777
train,"(0.278, 0.295]",361,0.28861101025359454,0.3878116343490305,-0.09920062409543595
train,"(0.295, 0.323]",575,0.31568174237790314,0.3565217391304348,-0.04083999675253164
train,"(0.323, 0.324]",61,0.32408156991004944,0.3114754098360656,0.012606160073983852
train,"(0.324, 0.344]",95,0.33440390448821217,0.4105263157894737,-0.07612241130126152
train,"(0.344, 0.371]",62,0.3573502580965719,0.3064516129032258,0.05089864519334608
holdout,"(-0.000796, 0.278]",15,0.21285733177031008,0.2,0.012857331770310065
holdout,"(0.278, 0.295]",79,0.2849367525032556,0.379746835443038,-0.09481008293978238
holdout,"(0.295, 0.323]",287,0.31124440460647745,0.24390243902439024,0.06734196558208722
holdout,"(0.324, 0.344]",468,0.3276622876782141,0.3269230769230769,0.0007392107551371652
holdout,"(0.344, 0.371]",384,0.35820320537636413,0.3489583333333333,0.009244872043030816
