period,bucket,n,mean_score,empirical_rate,calibration_gap
train,"(-0.000796, 0.278]",56928,0.22458173757286307,0.2977269533445756,-0.07314521577171254
train,"(0.278, 0.295]",3337,0.2888260222870967,0.30716212166616724,-0.018336099379070547
train,"(0.295, 0.322]",3440,0.31079611902146836,0.34505813953488373,-0.03426202051341537
train,"(0.322, 0.324]",4533,0.3233334522241529,0.37326273990734615,-0.04992928768319327
train,"(0.324, 0.326]",670,0.3255684971809387,0.373134328358209,-0.04756583117727026
train,"(0.326, 0.344]",842,0.3399258603180389,0.3824228028503563,-0.042496942532317394
train,"(0.344, 0.356]",879,0.35638168454170227,0.3924914675767918,-0.03610978303508955
train,"(0.356, 0.371]",42,0.36985890354428974,0.5238095238095238,-0.1539506202652341
holdout,"(-0.000796, 0.278]",1554,0.23752177226244683,0.21428571428571427,0.02323605797673256
holdout,"(0.278, 0.295]",4404,0.2848008491459417,0.2611262488646685,0.023674600281273217
holdout,"(0.295, 0.322]",6421,0.30790399404824303,0.32253543061828377,-0.014631436570040735
holdout,"(0.324, 0.326]",2552,0.32416778441653454,0.34169278996865204,-0.0175250055521175
holdout,"(0.326, 0.344]",999,0.3340499653748819,0.33933933933933935,-0.0052893739644574445
holdout,"(0.344, 0.356]",613,0.3491284558086254,0.3605220228384992,-0.011393567029873819
holdout,"(0.356, 0.371]",1634,0.36186785317260417,0.3629130966952264,-0.0010452435226222523
