period,bucket,n,mean_score,empirical_rate,calibration_gap
train,"(-0.000796, 0.278]",61161,0.22402741005299573,0.29064272984418177,-0.06661531979118604
train,"(0.278, 0.284]",917,0.2835105359554291,0.32061068702290074,-0.037100151067471665
train,"(0.284, 0.322]",3263,0.29992609200505366,0.3555010726325467,-0.055574980627493054
train,"(0.322, 0.323]",1880,0.3229893939767746,0.3648936170212766,-0.041904223044501976
train,"(0.323, 0.324]",434,0.32408156991004944,0.41705069124423966,-0.09296912133419022
train,"(0.324, 0.344]",601,0.33363751737329606,0.35108153078202997,-0.017444013408733916
train,"(0.344, 0.371]",458,0.35843309584403144,0.36899563318777295,-0.010562537343741518
holdout,"(-0.000796, 0.278]",977,0.24004366713291928,0.2241555783009212,0.015888088831998076
holdout,"(0.278, 0.284]",220,0.28131199798789736,0.19090909090909092,0.09040290707880644
holdout,"(0.284, 0.322]",8723,0.3036634621861457,0.2547288776796974,0.04893458450644833
holdout,"(0.324, 0.344]",4322,0.32644978807014313,0.31975937066173066,0.0066904174084124746
holdout,"(0.344, 0.371]",2028,0.357846240260176,0.368836291913215,-0.010990051653039012
