period,bucket,n,mean_score,empirical_rate,calibration_gap
train,"(-0.00099369, 0.129]",27059,0.04997863342606466,0.0,0.04997863342606466
train,"(0.129, 0.159]",1723,0.14950808175275718,0.0,0.14950808175275718
train,"(0.159, 0.173]",1900,0.16936539642904935,0.0,0.16936539642904935
train,"(0.173, 0.221]",1898,0.20510158342386825,0.0,0.20510158342386825
train,"(0.221, 0.232]",499,0.23056860345757318,0.0,0.23056860345757318
train,"(0.232, 0.233]",395,0.2325468808412552,0.0,0.2325468808412552
train,"(0.233, 0.323]",316,0.25964812929683095,0.0,0.25964812929683095
holdout,"(-0.00099369, 0.129]",2343,0.0386450176065701,0.0,0.0386450176065701
holdout,"(0.129, 0.159]",112,0.1409712595966687,0.0,0.1409712595966687
holdout,"(0.159, 0.173]",349,0.16602789791262149,0.0,0.16602789791262149
holdout,"(0.173, 0.221]",390,0.19519238188330093,0.0,0.19519238188330093
holdout,"(0.221, 0.232]",332,0.22953194902293025,0.0,0.22953194902293025
holdout,"(0.233, 0.323]",12664,0.2955404366410387,0.0,0.2955404366410387
